sample_id,income_vigs,DZ
east_calder_wwtp_11_20,5,S01013296
east_calder_wwtp_11_20,11,S01013294
east_calder_wwtp_11_20,20,S01013295
east_calder_wwtp_11_20,8,S01013299
east_calder_wwtp_11_20,20,S01013287
east_calder_wwtp_11_20,20,S01013285
east_calder_wwtp_11_20,17,S01013286
east_calder_wwtp_11_20,17,S01013293
east_calder_wwtp_11_20,17,S01013284
east_calder_wwtp_11_20,18,S01013276
east_calder_wwtp_11_20,13,S01013309
east_calder_wwtp_11_20,5,S01013312
east_calder_wwtp_11_20,1,S01013306
east_calder_wwtp_11_20,3,S01013304
east_calder_wwtp_11_20,5,S01013305
east_calder_wwtp_11_20,5,S01013301
east_calder_wwtp_11_20,4,S01013308
east_calder_wwtp_11_20,4,S01013307
east_calder_wwtp_11_20,14,S01013330
east_calder_wwtp_11_20,8,S01013310
east_calder_wwtp_11_20,6,S01013314
east_calder_wwtp_11_20,5,S01013323
east_calder_wwtp_11_20,7,S01013313
east_calder_wwtp_11_20,4,S01013311
east_calder_wwtp_11_20,20,S01013346
east_calder_wwtp_11_20,13,S01013269
east_calder_wwtp_11_20,9,S01013283
east_calder_wwtp_11_20,6,S01013267
east_calder_wwtp_11_20,5,S01013281
east_calder_wwtp_11_20,6,S01013327
east_calder_wwtp_11_20,3,S01013324
east_calder_wwtp_11_20,5,S01013326
east_calder_wwtp_11_20,4,S01013328
east_calder_wwtp_11_20,14,S01013347
east_calder_wwtp_11_20,8,S01013348
east_calder_wwtp_11_20,18,S01013315
east_calder_wwtp_11_20,5,S01013329
east_calder_wwtp_11_20,4,S01013278
east_calder_wwtp_11_20,3,S01013282
east_calder_wwtp_11_20,5,S01013279
east_calder_wwtp_11_20,12,S01013280
east_calder_wwtp_11_20,20,S01013318
east_calder_wwtp_11_20,8,S01013277
east_calder_wwtp_11_20,10,S01013268
east_calder_wwtp_11_20,9,S01013322
east_calder_wwtp_11_20,5,S01013321
east_calder_wwtp_11_20,11,S01013319
east_calder_wwtp_11_20,17,S01013320
east_calder_wwtp_11_20,2,S01013325
east_calder_wwtp_11_20,14,S01013316
east_calder_wwtp_11_20,20,S01013317
east_calder_wwtp_11_20,3,S01013335
east_calder_wwtp_11_20,18,S01013341
east_calder_wwtp_11_20,2,S01013336
east_calder_wwtp_11_20,12,S01013337
east_calder_wwtp_11_20,17,S01013338
east_calder_wwtp_11_20,12,S01013349
east_calder_wwtp_11_20,3,S01013353
east_calder_wwtp_11_20,3,S01013344
east_calder_wwtp_11_20,3,S01013342
east_calder_wwtp_11_20,19,S01013345
east_calder_wwtp_11_20,9,S01013343
east_calder_wwtp_11_20,7,S01013334
east_calder_wwtp_11_20,5,S01013350
east_calder_wwtp_11_20,12,S01013333
east_calder_wwtp_11_20,7,S01013332
east_calder_wwtp_11_20,15,S01013331
east_calder_wwtp_11_20,9,S01013351
east_calder_wwtp_11_20,19,S01013352
east_calder_wwtp_11_20,16,S01013340
east_calder_wwtp_11_20,13,S01013339
east_calder_wwtp_11_20,15,S01013263
east_calder_wwtp_11_20,20,S01013272
east_calder_wwtp_11_20,18,S01013271
east_calder_wwtp_11_20,16,S01013274
east_calder_wwtp_11_20,17,S01013264
east_calder_wwtp_11_20,15,S01013275
east_calder_wwtp_11_20,18,S01013273
east_calder_wwtp_11_20,16,S01013270
east_calder_wwtp_11_20,16,S01013266
east_calder_wwtp_11_20,16,S01013265
east_calder_wwtp_11_20,7,S01013257
east_calder_wwtp_11_20,20,S01013258
east_calder_wwtp_11_20,7,S01013259
east_calder_wwtp_11_20,9,S01013256
east_calder_wwtp_11_20,2,S01013251
east_calder_wwtp_11_20,11,S01013255
east_calder_wwtp_11_20,13,S01012588
east_calder_wwtp_11_20,13,S01012580
east_calder_wwtp_11_20,6,S01013262
east_calder_wwtp_11_20,6,S01013260
east_calder_wwtp_11_20,4,S01013261
kinneil_kerse_wwtp_11_20,19,S01009255
kinneil_kerse_wwtp_11_20,11,S01009257
kinneil_kerse_wwtp_11_20,5,S01009254
kinneil_kerse_wwtp_11_20,8,S01009253
kinneil_kerse_wwtp_11_20,15,S01009245
kinneil_kerse_wwtp_11_20,8,S01009246
kinneil_kerse_wwtp_11_20,5,S01009249
kinneil_kerse_wwtp_11_20,10,S01009247
kinneil_kerse_wwtp_11_20,10,S01009243
kinneil_kerse_wwtp_11_20,17,S01009244
kinneil_kerse_wwtp_11_20,11,S01009248
kinneil_kerse_wwtp_11_20,6,S01009140
kinneil_kerse_wwtp_11_20,19,S01009153
kinneil_kerse_wwtp_11_20,10,S01009151
kinneil_kerse_wwtp_11_20,6,S01009152
kinneil_kerse_wwtp_11_20,11,S01009149
kinneil_kerse_wwtp_11_20,3,S01009150
kinneil_kerse_wwtp_11_20,6,S01009181
kinneil_kerse_wwtp_11_20,9,S01009186
kinneil_kerse_wwtp_11_20,5,S01009180
kinneil_kerse_wwtp_11_20,14,S01009183
kinneil_kerse_wwtp_11_20,12,S01009182
kinneil_kerse_wwtp_11_20,16,S01009187
kinneil_kerse_wwtp_11_20,6,S01009188
kinneil_kerse_wwtp_11_20,4,S01013431
kinneil_kerse_wwtp_11_20,19,S01013432
kinneil_kerse_wwtp_11_20,6,S01009179
kinneil_kerse_wwtp_11_20,2,S01009178
kinneil_kerse_wwtp_11_20,4,S01009177
kinneil_kerse_wwtp_11_20,14,S01009155
kinneil_kerse_wwtp_11_20,14,S01009154
kinneil_kerse_wwtp_11_20,17,S01009168
kinneil_kerse_wwtp_11_20,17,S01009176
kinneil_kerse_wwtp_11_20,4,S01009169
kinneil_kerse_wwtp_11_20,14,S01009138
kinneil_kerse_wwtp_11_20,7,S01009157
kinneil_kerse_wwtp_11_20,20,S01009156
kinneil_kerse_wwtp_11_20,19,S01009158
kinneil_kerse_wwtp_11_20,20,S01009173
kinneil_kerse_wwtp_11_20,17,S01009172
kinneil_kerse_wwtp_11_20,17,S01009175
kinneil_kerse_wwtp_11_20,18,S01009174
kinneil_kerse_wwtp_11_20,14,S01009195
