sample_id,vigs
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,3
stirling_wwtp_03_20,3
stirling_wwtp_03_20,3
stirling_wwtp_03_20,3
stirling_wwtp_03_20,3
stirling_wwtp_03_20,3
stirling_wwtp_03_20,3
stirling_wwtp_03_20,12
stirling_wwtp_03_20,3
stirling_wwtp_03_20,3
stirling_wwtp_03_20,3
stirling_wwtp_03_20,3
stirling_wwtp_03_20,3
stirling_wwtp_03_20,7
stirling_wwtp_03_20,7
stirling_wwtp_03_20,7
stirling_wwtp_03_20,7
stirling_wwtp_03_20,7
stirling_wwtp_03_20,7
stirling_wwtp_03_20,1
stirling_wwtp_03_20,4
stirling_wwtp_03_20,4
stirling_wwtp_03_20,4
stirling_wwtp_03_20,4
stirling_wwtp_03_20,4
stirling_wwtp_03_20,14
stirling_wwtp_03_20,14
stirling_wwtp_03_20,3
stirling_wwtp_03_20,9
stirling_wwtp_03_20,9
stirling_wwtp_03_20,9
stirling_wwtp_03_20,9
stirling_wwtp_03_20,9
stirling_wwtp_03_20,7
stirling_wwtp_03_20,15
stirling_wwtp_03_20,15
stirling_wwtp_03_20,1
stirling_wwtp_03_20,1
stirling_wwtp_03_20,2
stirling_wwtp_03_20,15
stirling_wwtp_03_20,13
stirling_wwtp_03_20,13
stirling_wwtp_03_20,7
stirling_wwtp_03_20,13
stirling_wwtp_03_20,18
stirling_wwtp_03_20,7
stirling_wwtp_03_20,9
stirling_wwtp_03_20,9
stirling_wwtp_03_20,15
stirling_wwtp_03_20,9
stirling_wwtp_03_20,6
stirling_wwtp_03_20,15
stirling_wwtp_03_20,16
stirling_wwtp_03_20,16
stirling_wwtp_03_20,13
stirling_wwtp_03_20,16
stirling_wwtp_03_20,13
stirling_wwtp_03_20,13
stirling_wwtp_03_20,13
stirling_wwtp_03_20,13
stirling_wwtp_03_20,13
stirling_wwtp_03_20,13
stirling_wwtp_03_20,13
stirling_wwtp_03_20,13
stirling_wwtp_03_20,13
stirling_wwtp_03_20,9
stirling_wwtp_03_20,9
stirling_wwtp_03_20,16
